enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean
2022_26,slope7_success,1940,2,95,-0.0007428072615029504,-6.7265924234643375,-0.0032949895977878226,0.37315731626354826,7917.37423916856,0.15665000122562855,,,,,,,0.0,94.0,47.0,-7.1481210489927784,-6.338429452440926,-6.811272228589445
2022_26,slope7_lm,1940,2,95,-0.0007428072615029504,-6.726633446830777,-0.003290542496655098,1.142180810754462,24197.121219856122,0.15664928908652373,,,,,,,0.0,94.0,47.0,-7.1481210489927784,-6.338429452440926,-6.811272228589445
2022_26,linear,1940,3,91,0.0018999075505149658,-7.312967939292984,,,,0.11308892384664544,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-7.61968860962814,-6.979250193562777,-7.30365923416881
2022_26,linear,1950,0,91,-0.0017651550440819766,-7.637139745819232,,,,0.14275518464944068,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-7.9679731696647424,-7.3179847402287574,-7.639609134543218
2022_26,slope7_success,1950,0,95,-0.0017651550440819766,-7.492824105611321,-0.006116034389919402,7.394099363912046,80554.09147741692,0.1378637069440644,,,,,,,0.0,94.0,47.0,-7.9679731696647424,-7.3179847402287574,-7.644309383261044
2022_26,slope7_lm_invalid_params,1950,0,95,-0.0017651550440819766,-7.502008769203604,-0.00468490450440603,-0.005444821131869105,-34.08623049773778,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-7.9679731696647424,-7.3179847402287574,-7.644309383261044
2022_26,linear,1950,1,86,-0.005337410982912316,-7.315026448585554,,,,0.5595326334367478,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,44.43023255813954,-8.280964395206778,-6.0565233087048025,-7.320043938434179
2022_26,slope7_success,1950,1,89,-0.005337410982912316,-6.935041096030297,-0.013898759915392161,1.0889309519732588,6591.227321653071,0.557211186879257,,,,,,,0.0,93.0,46.03370786516854,-8.280964395206778,-6.0565233087048025,-7.3380824050540445
2022_26,slope7_lm,1950,1,89,-0.005337410982912316,-6.934990814879119,-0.013897198953782773,1.957561135455361,11806.245222886464,0.5572103341029501,,,,,,,0.0,93.0,46.03370786516854,-8.280964395206778,-6.0565233087048025,-7.3380824050540445
2022_26,linear,1950,2,91,-0.0014299194131151699,-7.820210913254974,,,,0.13446945362244428,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-8.124796851778438,-7.292337137557081,-7.802319971505084
