country,wave,r2_fit,fit_tier,week_start,week_end,n_weekly_observations,n_week_intervals,span_calendar_days,slope_ols_deaths_per_million_per_week,slope_secant_delta_over_n_minus_1,delta_cumulative
Brazil,4,0.9924465364324224,primary,2021-02-28,2021-07-11,20,19,133,73.2815180451128,69.78615789473685,1325.9370000000001
Brazil,5,0.9922528882064038,primary,2022-01-30,2022-03-06,6,5,35,24.918714285714277,24.127599999999983,120.63799999999992
Brunei,1,0.9968521867256045,primary,2021-08-29,2021-10-17,8,7,49,12.757714285714288,12.54857142857143,87.84
Bulgaria,1,0.9922247805285327,primary,2020-11-15,2021-01-03,8,7,49,121.54219047619046,116.21757142857142,813.5229999999999
Bulgaria,2,0.9926567216504668,primary,2021-02-21,2021-05-09,12,11,77,101.72127622377623,94.06727272727272,1034.74
Bulgaria,3,0.9925285333175118,primary,2021-09-19,2021-10-24,6,5,35,88.76742857142857,89.30739999999996,446.5369999999998
Bulgaria,4,0.9925606335034431,primary,2021-11-14,2022-03-13,18,17,119,83.18964189886479,85.25529411764704,1449.3399999999997
Cambodia,1,0.9923005012927747,primary,2021-07-11,2021-08-08,5,4,28,9.499,9.592000000000002,38.36800000000001
Cameroon,1,0.9985454475063578,primary,2021-03-21,2021-05-02,7,6,42,2.557785714285714,2.5513333333333335,15.308
Canada,1,0.9951511138083078,primary,2020-04-19,2020-05-24,6,5,35,26.16031428571429,25.378000000000004,126.89000000000001
Canada,2,0.9936996178046495,primary,2020-11-22,2021-02-21,14,13,91,21.733975824175822,20.084153846153843,261.09399999999994
Canada,3,0.9971730667806014,primary,2022-01-16,2022-02-13,5,4,28,25.65089999999999,25.308249999999987,101.23299999999995
Canada,4,0.9944323609762178,primary,2022-02-20,2022-03-20,5,4,28,10.553600000000017,10.439000000000021,41.756000000000085
Cape Verde,1,0.9912014563106796,fallback≥0.99,2020-09-27,2020-10-25,5,4,28,19.0476,18.278,73.112
Cape Verde,2,0.9924244213974659,primary,2021-04-04,2021-05-23,8,7,49,24.393571428571423,23.362857142857138,163.53999999999996
Cape Verde,3,0.9943843309135736,primary,2021-09-05,2021-10-10,6,5,35,12.09371428571428,11.9288,59.644000000000005
Chile,1,0.9920455779800978,primary,2020-05-31,2020-07-26,9,8,56,53.07021666666667,51.29,410.32
Chile,2,0.9944782564689555,primary,2020-12-27,2021-08-29,36,35,245,32.73258764478764,29.863114285714282,1045.2089999999998
Chile,3,0.9948121176707787,primary,2021-12-05,2022-01-02,5,4,28,8.781300000000034,8.63050000000004,34.52200000000016
Chile,4,0.9959932650261145,primary,2022-02-06,2022-03-20,7,6,42,40.05775000000002,38.44250000000003,230.6550000000002
Colombia,1,0.9937182532794424,primary,2020-06-28,2021-03-21,39,38,266,30.48425890688259,29.989210526315794,1139.5900000000001
Colombia,2,0.9924090242404687,primary,2021-04-25,2021-08-15,17,16,112,68.89211519607844,63.752812500000005,1020.0450000000001
Colombia,3,0.992597939622661,primary,2022-01-23,2022-02-20,5,4,28,29.5605,29.209749999999985,116.83899999999994
Comoros,1,0.9978775837459218,primary,2021-01-24,2021-02-21,5,4,28,22.057100000000002,21.87725,87.509
Congo,1,0.9923859851973464,primary,2021-10-17,2021-11-21,6,5,35,4.1044857142857145,3.9104,19.552
Costa Rica,1,0.9967229970192805,primary,2020-08-02,2021-02-28,31,30,210,18.704934677419356,17.38243333333333,521.473
