enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,mad_error,medae,rmedae,fit_quality,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last,optimizer_success,optimizer_fun,optimizer_nfev,optimizer_nit,optimizer_message,optimizer_status,optimizer_status_meaning,optimizer_warnflag,optimizer_grad_norm,failure_detail,param_C_valid,param_ka_valid,param_kb_valid,param_tau_valid
2022_26,linear,1950,3,78,0.0008259890639725335,-8.256967873944395,,,,0.11520998977959737,0.09105677596988869,0.07279950585246553,0.9928823492320002,poor,"linear_fit_t_mean=55.500000,skip_weeks=17",,,,,,17.0,94.0,55.5,-8.507601021204275,-8.024813056388304,-8.269773669159303,0.0002513123355170854,0.00022313987467714142,0.00022751008132253486,0.0002385313063083931,17.0,18.0,93.0,94.0,2022-43,2024-16,,,,,,,,,,,,,,
2022_26,linear,1960,0,93,-0.0021618933234687516,-8.70167664993896,,,,0.18006400585565216,0.1442206376880472,0.11993595529073175,1.0095575189035113,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-9.28759457929808,-8.17156510700256,-8.703454372341518,0.00015586449704427485,0.00020152397823305985,0.00013897467594950496,0.00019691956092658986,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1960,1,74,0.0002471310626912711,-7.991320145119849,,,,0.5371764256464326,0.429400096821225,0.5492088859417139,0.999045087707358,poor,"linear_fit_t_mean=46.675676,skip_weeks=2",,,,,,3.0,94.0,46.67567567567568,-8.697679729940482,-6.904416293824895,-8.1054572924105,0.0003337226795531052,0.0005008347350097675,0.00034211426950169155,0.0005134348906219351,3.0,4.0,91.0,94.0,2022-29,2024-16,,,,,,,,,,,,,,
2022_26,linear,1960,2,93,0.0015425569415339377,-9.000839864667029,,,,0.18976944312138053,0.15408847893572147,0.13304594126310576,0.9917330680259361,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-9.517546394675444,-8.651801778886492,-9.019968892330613,0.00010011089214859278,0.00011937723605819337,0.00010513363663039793,0.00014019783495197865,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1960,3,78,0.0021068856162990727,-9.242807074441004,,,,0.129684165074969,0.10069178453544993,0.08324281542051981,1.0388216992474177,poor,"linear_fit_t_mean=55.500000,skip_weeks=17",,,,,,17.0,94.0,55.5,-9.611118544176014,-8.987732613297737,-9.270965518017714,6.839732631297744e-05,9.794212716361398e-05,7.202512740600564e-05,0.00010804936457133328,17.0,18.0,93.0,94.0,2022-43,2024-16,,,,,,,,,,,,,,
2022_26,linear,1970,0,93,-0.000996176831815664,-9.754681282957884,,,,0.18658689046469862,0.15564754595892394,0.13556644693942488,0.9844147665609905,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-10.220507528937171,-9.294037930293008,-9.75652142876743,6.042237659961933e-05,6.526042537606159e-05,4.616793953312457e-05,6.075097932447486e-05,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1970,1,64,-0.007426437387204053,-8.860399533367524,,,,0.4575158360628503,0.3825994169605985,0.33899979911979106,0.9774545472910381,poor,"linear_fit_t_mean=45.046875,skip_weeks=2",,,,,,2.0,94.0,45.046875,-9.233763886124807,-8.125630981182644,-8.838030941432494,0.00019535065504590527,9.768486869150762e-05,0.00019727757018009516,9.864851541995657e-05,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1970,2,93,0.0008568830834120996,-10.144599316616384,,,,0.2265349939488368,0.18158062496952443,0.1611057564090448,0.8953279409646623,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-10.608668849902271,-9.639093124879015,-10.142225650061107,3.8172138385443126e-05,2.919131087151859e-05,3.155185547703828e-05,3.6060563720584044e-05,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,linear,1970,3,78,0.0008044142644195428,-10.279170140368418,,,,0.23586804998210834,0.16681155270899334,0.13364779494612744,0.9680388228816601,poor,"linear_fit_t_mean=55.500000,skip_weeks=17",,,,,,17.0,94.0,55.5,-11.399986303779292,-9.896160776938446,-10.315434795037152,2.931253725356312e-05,2.2333860506400342e-05,1.1195638179472347e-05,2.938941393520555e-05,17.0,18.0,93.0,94.0,2022-43,2024-16,,,,,,,,,,,,,,
2022_26,linear,1980,0,93,-0.0024832088108159484,-10.61856232097031,,,,0.3276895764909809,0.2626420555648214,0.23823369270869676,0.9923139068469664,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-11.425297898156112,-9.815630727099215,-10.649583357654862,3.491566775479424e-05,1.9640448850356827e-05,2.187193109542427e-05,1.749785104561509e-05,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
