icd,vaccinated_count,vaccinated_pct,unvaccinated_count,unvaccinated_pct,difference,abs_difference
E88,10.0,8.76216846145084e-05,114.0,7.482642239121617e-05,1.2795262223292236e-05,1.2795262223292236e-05
D89,3.0,2.628650538435252e-05,21.0,1.3783814651013504e-05,1.2502690733339016e-05,1.2502690733339016e-05
S19,0.0,0.0,19.0,1.2471070398536028e-05,-1.2471070398536028e-05,1.2471070398536028e-05
D27,0.0,0.0,19.0,1.2471070398536028e-05,-1.2471070398536028e-05,1.2471070398536028e-05
G90,0.0,0.0,19.0,1.2471070398536028e-05,-1.2471070398536028e-05,1.2471070398536028e-05
M81,2.0,1.752433692290168e-05,8.0,5.250977009909907e-06,1.2273359912991773e-05,1.2273359912991773e-05
D14,2.0,1.752433692290168e-05,8.0,5.250977009909907e-06,1.2273359912991773e-05,1.2273359912991773e-05
N04,2.0,1.752433692290168e-05,45.0,2.9536745680743223e-05,-1.2012408757841542e-05,1.2012408757841542e-05
G60,0.0,0.0,18.0,1.181469827229729e-05,-1.181469827229729e-05,1.181469827229729e-05
E01,2.0,1.752433692290168e-05,9.0,5.907349136148645e-06,1.1616987786753036e-05,1.1616987786753036e-05
F31,2.0,1.752433692290168e-05,9.0,5.907349136148645e-06,1.1616987786753036e-05,1.1616987786753036e-05
O67,2.0,1.752433692290168e-05,9.0,5.907349136148645e-06,1.1616987786753036e-05,1.1616987786753036e-05
N05,1.0,8.76216846145084e-06,31.0,2.0347535913400886e-05,-1.1585367451950046e-05,1.1585367451950046e-05
D53,1.0,8.76216846145084e-06,31.0,2.0347535913400886e-05,-1.1585367451950046e-05,1.1585367451950046e-05
T54,1.0,8.76216846145084e-06,31.0,2.0347535913400886e-05,-1.1585367451950046e-05,1.1585367451950046e-05
D44,4.0,3.504867384580336e-05,36.0,2.362939654459458e-05,1.1419277301208783e-05,1.1419277301208783e-05
K90,4.0,3.504867384580336e-05,36.0,2.362939654459458e-05,1.1419277301208783e-05,1.1419277301208783e-05
S37,3.0,2.628650538435252e-05,23.0,1.509655890349098e-05,1.118994648086154e-05,1.118994648086154e-05
T18,0.0,0.0,17.0,1.115832614605855e-05,-1.115832614605855e-05,1.115832614605855e-05
S79,0.0,0.0,17.0,1.115832614605855e-05,-1.115832614605855e-05,1.115832614605855e-05
M48,0.0,0.0,17.0,1.115832614605855e-05,-1.115832614605855e-05,1.115832614605855e-05
J94,5.0,4.38108423072542e-05,50.0,3.281860631193691e-05,1.0992235995317288e-05,1.0992235995317288e-05
N34,2.0,1.752433692290168e-05,43.0,2.8224001428265746e-05,-1.0699664505364065e-05,1.0699664505364065e-05
D84,2.0,1.752433692290168e-05,43.0,2.8224001428265746e-05,-1.0699664505364065e-05,1.0699664505364065e-05
G61,5.0,4.38108423072542e-05,83.0,5.4478886477815276e-05,-1.0668044170561076e-05,1.0668044170561076e-05
K59,6.0,5.257301076870504e-05,64.0,4.200781607927925e-05,1.0565194689425786e-05,1.0565194689425786e-05
S92,0.0,0.0,16.0,1.0501954019819813e-05,-1.0501954019819813e-05,1.0501954019819813e-05
I86,0.0,0.0,16.0,1.0501954019819813e-05,-1.0501954019819813e-05,1.0501954019819813e-05
O75,0.0,0.0,16.0,1.0501954019819813e-05,-1.0501954019819813e-05,1.0501954019819813e-05
C30,12.0,0.00010514602153741008,176.0,0.00011552149421801794,-1.0375472680607866e-05,1.0375472680607866e-05
J36,2.0,1.752433692290168e-05,11.0,7.2200933886261215e-06,1.0304243534275559e-05,1.0304243534275559e-05
A84,1.0,8.76216846145084e-06,29.0,1.903479166092341e-05,-1.0272623199472571e-05,1.0272623199472571e-05
S24,0.0,0.0,15.0,9.845581893581074e-06,-9.845581893581074e-06,9.845581893581074e-06
I30,14.0,0.00012267035846031177,172.0,0.00011289600571306298,9.774352747248788e-06,9.774352747248788e-06
K40,14.0,0.00012267035846031177,172.0,0.00011289600571306298,9.774352747248788e-06,9.774352747248788e-06
L51,2.0,1.752433692290168e-05,12.0,7.87646551486486e-06,9.647871408036821e-06,9.647871408036821e-06
R55,2.0,1.752433692290168e-05,12.0,7.87646551486486e-06,9.647871408036821e-06,9.647871408036821e-06
C07,30.0,0.0002628650538435252,386.0,0.000253359640728153,9.505413115372245e-06,9.505413115372245e-06
T27,3.0,2.628650538435252e-05,26.0,1.7065675282207197e-05,9.220830102145323e-06,9.220830102145323e-06
T98,2.0,1.752433692290168e-05,13.0,8.532837641103598e-06,8.991499281798083e-06,8.991499281798083e-06
F73,2.0,1.752433692290168e-05,13.0,8.532837641103598e-06,8.991499281798083e-06,8.991499281798083e-06
J61,2.0,1.752433692290168e-05,13.0,8.532837641103598e-06,8.991499281798083e-06,8.991499281798083e-06
H34,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
D57,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
G44,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
Q82,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
S54,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
B67,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
A43,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
B46,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
S60,1.0,8.76216846145084e-06,0.0,0.0,8.76216846145084e-06,8.76216846145084e-06
E84,5.0,4.38108423072542e-05,80.0,5.250977009909906e-05,-8.69892779184486e-06,8.69892779184486e-06
T79,17.0,0.00014895686384466429,240.0,0.0001575293102972972,-8.572446452632905e-06,8.572446452632905e-06
T63,3.0,2.628650538435252e-05,27.0,1.7722047408445934e-05,8.564457975906586e-06,8.564457975906586e-06
A87,0.0,0.0,13.0,8.532837641103598e-06,-8.532837641103598e-06,8.532837641103598e-06
D15,0.0,0.0,13.0,8.532837641103598e-06,-8.532837641103598e-06,8.532837641103598e-06
T85,0.0,0.0,13.0,8.532837641103598e-06,-8.532837641103598e-06,8.532837641103598e-06
D66,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
T97,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
F78,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
L95,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
O04,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
S64,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
Q78,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
N72,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
D20,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
Q99,1.0,8.76216846145084e-06,1.0,6.563721262387383e-07,8.105796335212102e-06,8.105796335212102e-06
A69,0.0,0.0,12.0,7.87646551486486e-06,-7.87646551486486e-06,7.87646551486486e-06
R50,0.0,0.0,12.0,7.87646551486486e-06,-7.87646551486486e-06,7.87646551486486e-06
Q03,2.0,1.752433692290168e-05,15.0,9.845581893581074e-06,7.678755029320607e-06,7.678755029320607e-06
E15,1.0,8.76216846145084e-06,25.0,1.6409303155968456e-05,-7.647134694517616e-06,7.647134694517616e-06
N73,1.0,8.76216846145084e-06,25.0,1.6409303155968456e-05,-7.647134694517616e-06,7.647134694517616e-06
C11,19.0,0.00016648120076756596,242.0,0.00015884205454977466,7.639146217791305e-06,7.639146217791305e-06
I87,7.0,6.133517923015588e-05,82.0,5.382251435157654e-05,7.5126648785793425e-06,7.5126648785793425e-06
O85,1.0,8.76216846145084e-06,2.0,1.3127442524774767e-06,7.449424208973364e-06,7.449424208973364e-06
Q76,1.0,8.76216846145084e-06,2.0,1.3127442524774767e-06,7.449424208973364e-06,7.449424208973364e-06
F60,1.0,8.76216846145084e-06,2.0,1.3127442524774767e-06,7.449424208973364e-06,7.449424208973364e-06
L30,1.0,8.76216846145084e-06,2.0,1.3127442524774767e-06,7.449424208973364e-06,7.449424208973364e-06
I00,1.0,8.76216846145084e-06,2.0,1.3127442524774767e-06,7.449424208973364e-06,7.449424208973364e-06
I83,81.0,0.000709735645377518,1070.0,0.00070231817507545,7.417470302068028e-06,7.417470302068028e-06
M50,0.0,0.0,11.0,7.2200933886261215e-06,-7.2200933886261215e-06,7.2200933886261215e-06
Q04,0.0,0.0,11.0,7.2200933886261215e-06,-7.2200933886261215e-06,7.2200933886261215e-06
A03,0.0,0.0,11.0,7.2200933886261215e-06,-7.2200933886261215e-06,7.2200933886261215e-06
O72,0.0,0.0,11.0,7.2200933886261215e-06,-7.2200933886261215e-06,7.2200933886261215e-06
B19,0.0,0.0,11.0,7.2200933886261215e-06,-7.2200933886261215e-06,7.2200933886261215e-06
S73,0.0,0.0,11.0,7.2200933886261215e-06,-7.2200933886261215e-06,7.2200933886261215e-06
C37,9.0,7.885951615305756e-05,131.0,8.598474853727472e-05,-7.125232384217159e-06,7.125232384217159e-06
G72,5.0,4.38108423072542e-05,56.0,3.675683906936934e-05,7.054003237884858e-06,7.054003237884858e-06
E12,4.0,3.504867384580336e-05,64.0,4.200781607927925e-05,-6.959142233475891e-06,6.959142233475891e-06
C47,7.0,6.133517923015588e-05,83.0,5.4478886477815276e-05,6.856292752340609e-06,6.856292752340609e-06
N23,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
N02,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
E71,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
N31,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
S69,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
G24,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
J01,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
T11,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
J30,1.0,8.76216846145084e-06,3.0,1.969116378716215e-06,6.793052082734626e-06,6.793052082734626e-06
T88,2.0,1.752433692290168e-05,37.0,2.4285768670833316e-05,-6.761431747931635e-06,6.761431747931635e-06
T70,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
A52,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
T25,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
S13,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
E46,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
D83,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
T08,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
B20,0.0,0.0,10.0,6.563721262387383e-06,-6.563721262387383e-06,6.563721262387383e-06
M35,5.0,4.38108423072542e-05,57.0,3.741321119560808e-05,6.397631111646118e-06,6.397631111646118e-06
M30,2.0,1.752433692290168e-05,17.0,1.115832614605855e-05,6.3660107768431305e-06,6.3660107768431305e-06
S39,2.0,1.752433692290168e-05,17.0,1.115832614605855e-05,6.3660107768431305e-06,6.3660107768431305e-06
T37,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
B91,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
F79,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
E22,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
S89,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
T96,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
B23,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
A06,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
O45,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
A35,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
R00,1.0,8.76216846145084e-06,4.0,2.6254885049549533e-06,6.136679956495887e-06,6.136679956495887e-06
N70,2.0,1.752433692290168e-05,36.0,2.362939654459458e-05,-6.105059621692898e-06,6.105059621692898e-06
C46,5.0,4.38108423072542e-05,76.0,4.988428159414411e-05,-6.073439286889912e-06,6.073439286889912e-06
T57,0.0,0.0,9.0,5.907349136148645e-06,-5.907349136148645e-06,5.907349136148645e-06
Q22,0.0,0.0,9.0,5.907349136148645e-06,-5.907349136148645e-06,5.907349136148645e-06
S77,0.0,0.0,9.0,5.907349136148645e-06,-5.907349136148645e-06,5.907349136148645e-06
K91,0.0,0.0,9.0,5.907349136148645e-06,-5.907349136148645e-06,5.907349136148645e-06
Q87,0.0,0.0,9.0,5.907349136148645e-06,-5.907349136148645e-06,5.907349136148645e-06
S38,0.0,0.0,9.0,5.907349136148645e-06,-5.907349136148645e-06,5.907349136148645e-06
D01,0.0,0.0,9.0,5.907349136148645e-06,-5.907349136148645e-06,5.907349136148645e-06
B18,15.0,0.0001314325269217626,209.0,0.0001371817743838963,-5.7492474621336994e-06,5.7492474621336994e-06
T48,2.0,1.752433692290168e-05,18.0,1.181469827229729e-05,5.709638650604392e-06,5.709638650604392e-06
M51,2.0,1.752433692290168e-05,18.0,1.181469827229729e-05,5.709638650604392e-06,5.709638650604392e-06
T73,2.0,1.752433692290168e-05,18.0,1.181469827229729e-05,5.709638650604392e-06,5.709638650604392e-06
