enrollment_date,t,calendar_week,dead0,alive0,h0,dead2,alive2,h2,dead3,alive3,h3,HR20,HR30,edge_sameweek0,edge_sameweek2,edge_sameweek3
2021-11-22,6,2022-01-03,928,5086213,0.00018247066510255092,553,3348039,0.00016518495599896266,40,102582,0.0003900080001074643,0.9052685586810709,2.1373736972366197,3,6,0
2021-11-22,7,2022-01-10,863,5053563,0.0001707851857996349,558,2947800,0.0001893116288795463,58,102541,0.0005657874351025142,1.1084780450550704,3.312860143304793,1,6,0
2021-11-22,8,2022-01-17,751,5023887,0.00014949702044051905,509,2582457,0.0001971185457562789,44,102482,0.00042943588401512573,1.3185449795282522,2.872538079686926,0,4,0
2021-11-22,9,2022-01-24,732,5003556,0.0001463066566141942,416,2355660,0.00017661153828700464,54,102438,0.0005272871200470366,1.2071326238608775,3.6039858489656784,2,2,0
2021-11-22,10,2022-01-31,873,4990332,0.00017495356410307747,477,2185720,0.00021825854023172994,59,102384,0.0005764280186377973,1.2475226860947997,3.294748647122061,1,4,0
2021-11-22,11,2022-02-07,858,4981867,0.00017223942205468244,477,2075869,0.00022980969016363667,70,102325,0.0006843288956084444,1.3342455950106293,3.9731258236060745,2,3,0
2021-11-22,12,2022-02-14,827,4977014,0.00016617769537719725,426,2012150,0.0002117362529699415,63,102255,0.0006162966636248861,1.2741556710684518,3.7086605529459864,0,0,0
2021-11-22,13,2022-02-21,797,4973379,0.00016026606211425482,371,1969151,0.00018842382007080923,46,102191,0.0004502388299376727,1.1756938280325409,2.809321100163391,0,0,0
2021-11-22,14,2022-02-28,773,4970451,0.00015553118104564466,349,1935884,0.0001802956491898185,54,102145,0.0005288000279904855,1.159225101858553,3.3999615024803,0,0,0
2021-11-22,15,2022-03-07,761,4968112,0.00015318863378344728,367,1914794,0.00019168389660646984,60,102091,0.0005878837335322247,1.2512932054570105,3.837645907615296,0,0,0
2021-11-22,16,2022-03-14,671,4966130,0.00013512439973527315,339,1897214,0.0001786990241410835,55,102031,0.0005391971974738752,1.322477838874244,3.9903762646141994,0,0,0
2021-11-22,17,2022-03-21,725,4964316,0.00014605293971601917,327,1879861,0.00017396416222538477,53,101976,0.0005198652391002243,1.1911034626460468,3.5594301635491505,0,0,0
2021-11-22,18,2022-03-28,718,4962538,0.00014469449837510823,345,1863330,0.00018516953128536943,70,101923,0.0006870289214959657,1.2797275180797345,4.748134374224108,0,0,0
2021-11-22,19,2022-04-04,654,4960606,0.0001318474224831808,311,1847064,0.00016838950101475346,70,101853,0.0006875012547601281,1.2771542882170046,5.214370078776699,0,0,0
