country,wave,search_start,search_end,segment_start,segment_end,peak_week,n_weeks,slope_deaths_per_million_per_week,intercept,r2,delta_cum_over_segment,status
Bosnia and Herzegovina,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-03-20,2022-02-13,18,67.51861506707945,3815.264994152047,0.98709410264572,1069.9559999999997,ok
Botswana,first_wave_2020,2020-02-15,2020-10-15,2020-08-16,2020-10-11,2020-09-13,9,0.8059833333333333,0.9201777777777789,0.9796515325129429,6.147,ok
Botswana,alpha_winter_2020_21,2020-10-01,2021-05-31,2021-01-24,2021-05-30,2021-03-07,19,17.668298245614036,50.636315789473684,0.9755160920339732,301.243,ok
Botswana,delta_2021,2021-05-01,2021-11-30,2021-06-13,2021-09-12,2021-08-15,14,49.288698901098904,352.3690285714286,0.9743213784876638,578.303,ok
Botswana,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-02,2022-03-13,2022-01-23,11,8.79324545454545,1016.362590909091,0.9559316173864588,93.03700000000003,ok
Brazil,first_wave_2020,2020-02-15,2020-10-15,2020-05-03,2020-10-11,2020-08-02,24,31.503940000000004,17.52852333333334,0.9968434961254345,681.434,ok
Brazil,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-04-18,35,43.17627983193277,475.18895714285725,0.90814934303043,1491.429,ok
Brazil,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-09-12,2021-05-02,20,46.26023082706766,2003.0138571428577,0.9671487710279839,865.713,ok
Brazil,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-04-24,2022-02-20,23,12.883290513833993,2882.3103695652176,0.9444425760140734,238.63700000000017,ok
British Virgin Islands,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
British Virgin Islands,alpha_winter_2020_21,2020-10-01,2021-05-31,,,,,,,,,no_segment
British Virgin Islands,delta_2021,2021-05-01,2021-11-30,2021-07-18,2021-08-15,2021-08-01,5,161.69429999999997,417.2748000000001,0.883272132126208,651.9929999999999,ok
British Virgin Islands,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-16,2022-02-27,2022-02-13,7,95.00460714285714,1108.3871785714286,0.9249641700389644,521.594,ok
Brunei,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
Brunei,alpha_winter_2020_21,2020-10-01,2021-05-31,,,,,,,,,no_segment
Brunei,delta_2021,2021-05-01,2021-11-30,2021-08-22,2021-11-07,2021-10-03,12,10.741972027972027,26.380153846153853,0.9768088697314342,109.79999999999998,ok
Brunei,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-02-20,2022-04-24,2022-03-13,10,8.211709090909089,163.5421090909091,0.8123392932209211,74.66399999999999,ok
Bulgaria,first_wave_2020,2020-02-15,2020-10-15,2020-04-26,2020-10-11,2020-09-06,25,5.234508461538462,-6.387541538461555,0.9521510896029086,122.32899999999998,ok
Bulgaria,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-11-08,2021-05-30,2020-12-13,30,78.99816573971079,350.49383010752695,0.9832718151115419,2347.688,ok
Bulgaria,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-11-28,2021-11-21,31,45.28968306451614,2247.034141129033,0.7911214108092951,1699.2720000000004,ok
Bulgaria,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-03-20,2021-11-21,18,78.98976573787407,4058.1231578947372,0.9930270687559366,1331.9919999999997,ok
Burkina Faso,first_wave_2020,2020-02-15,2020-10-15,2020-03-22,2020-05-24,2020-05-03,10,0.24446060606060604,0.36592727272727266,0.9329971271820673,2.043,ok
Burkina Faso,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-02-28,2021-02-07,22,0.18123828345567475,2.0247707509881425,0.8435873974926456,3.688,ok
Burkina Faso,delta_2021,2021-05-01,2021-11-30,2021-10-03,2021-11-28,2021-11-28,9,0.4849833333333333,8.011622222222222,0.9103881773682192,4.176,ok
Burkina Faso,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-02-13,2021-11-21,13,0.421335164835165,11.79452747252747,0.9871862373071794,4.8870000000000005,ok
Burundi,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
Burundi,alpha_winter_2020_21,2020-10-01,2021-05-31,,,,,,,,,no_segment
Burundi,delta_2021,2021-05-01,2021-11-30,2021-06-06,2021-10-03,2021-09-19,18,0.0294891640866873,0.4961754385964914,0.8421265346929068,0.44999999999999996,ok
Burundi,omicron_ba1_2021_22,2021-11-15,2022-04-30,,,,,,,,,no_segment
Cambodia,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
Cambodia,alpha_winter_2020_21,2020-10-01,2021-05-31,2021-04-04,2021-05-30,2021-05-30,9,1.4572166666666666,0.26891111111111243,0.987510862297695,11.336,ok
Cambodia,delta_2021,2021-05-01,2021-11-30,2021-06-13,2021-11-28,2021-07-18,25,6.550454615384615,29.755904615384637,0.9748084068680984,150.915,ok
Cambodia,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-01-02,2021-11-21,7,1.11696428571429,169.40596428571428,0.9194095356414116,6.569000000000017,ok
